Vardas         Pavardė       ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas1803     Pavardė1803   3         4         10        5         3         7         9         10        9         9         5         8         1         10        1         8         
Vardas1804     Pavardė1804   3         7         1         8         1         8         7         3         3         10        5         4         1         4         3         6         
Vardas1805     Pavardė1805   7         1         4         3         4         7         2         5         8         7         4         4         10        5         2         8         
Vardas1806     Pavardė1806   1         3         3         10        6         5         2         4         1         3         8         10        8         10        1         3         
Vardas1807     Pavardė1807   3         8         9         1         5         3         3         6         9         8         10        8         7         8         3         3         
Vardas1808     Pavardė1808   7         7         9         2         10        8         2         7         1         2         4         10        2         9         8         8         
Vardas1809     Pavardė1809   7         8         2         2         5         9         7         4         4         1         5         3         6         10        4         6         
Vardas1810     Pavardė1810   10        1         2         8         2         1         3         4         10        7         9         6         3         4         8         6         
Vardas1811     Pavardė1811   5         3         1         3         8         2         10        8         7         7         9         8         4         1         10        3         
Vardas1812     Pavardė1812   10        3         4         6         1         2         2         6         10        1         5         8         4         10        1         10        
Vardas1813     Pavardė1813   6         3         8         9         4         4         2         7         7         7         4         8         3         9         8         6         
Vardas1814     Pavardė1814   7         9         5         5         8         8         5         7         6         10        6         9         8         9         5         9         
Vardas1815     Pavardė1815   8         8         1         3         5         4         3         7         2         6         9         5         7         4         6         6         
Vardas1816     Pavardė1816   1         2         9         8         6         8         2         4         6         5         6         8         8         10        1         10        
Vardas1817     Pavardė1817   8         4         10        4         3         2         1         1         5         4         9         1         8         6         7         5         
Vardas1818     Pavardė1818   8         2         9         4         4         5         9         3         3         1         5         1         6         8         3         2         
Vardas1819     Pavardė1819   9         6         2         3         9         6         8         10        3         2         4         3         1         5         6         5         
Vardas1820     Pavardė1820   2         3         8         8         9         7         9         10        2         8         1         5         7         9         3         7         
Vardas1821     Pavardė1821   3         2         10        7         3         7         6         10        5         2         3         9         2         5         2         3         
Vardas1822     Pavardė1822   7         3         1         3         9         3         7         9         5         1         3         7         6         6         10        6         
Vardas1823     Pavardė1823   6         2         3         8         5         6         9         8         6         7         10        4         2         6         8         5         
Vardas1824     Pavardė1824   10        4         9         3         9         5         2         8         1         10        5         10        4         10        6         6         
Vardas1825     Pavardė1825   10        5         2         2         1         4         7         6         10        2         10        5         8         9         7         8         
Vardas1826     Pavardė1826   6         1         3         3         2         5         4         5         7         8         9         6         7         8         7         4         
Vardas1827     Pavardė1827   5         2         5         2         3         2         10        10        5         10        8         9         3         10        4         10        
Vardas1828     Pavardė1828   4         4         6         2         9         1         6         4         5         7         3         7         8         9         5         7         
Vardas1829     Pavardė1829   2         5         5         5         1         7         8         5         8         7         6         2         3         7         10        9         
Vardas1830     Pavardė1830   4         6         5         2         6         2         3         4         6         7         6         2         5         7         9         6         
Vardas1831     Pavardė1831   1         3         9         4         2         4         2         6         7         5         1         5         6         10        10        6         
Vardas1832     Pavardė1832   3         3         6         10        5         10        1         6         6         10        6         1         6         6         9         3         
Vardas1833     Pavardė1833   8         9         10        2         5         7         1         9         7         1         7         4         5         5         9         2         
Vardas1834     Pavardė1834   3         3         6         9         5         9         6         5         1         5         6         9         10        6         8         3         
Vardas1835     Pavardė1835   8         6         6         2         10        2         2         7         2         1         3         3         3         3         3         5         
Vardas1836     Pavardė1836   10        2         4         8         7         2         8         2         7         8         5         7         3         3         5         3         
Vardas1837     Pavardė1837   8         10        7         9         9         6         6         7         7         5         2         8         8         10        9         3         
Vardas1838     Pavardė1838   5         2         7         9         4         4         3         1         6         5         10        1         2         6         7         10        
Vardas1839     Pavardė1839   6         8         8         10        7         6         9         8         5         7         7         4         1         2         9         7         
Vardas1840     Pavardė1840   2         7         4         9         4         8         2         6         1         4         2         8         10        9         2         9         
Vardas1841     Pavardė1841   5         10        9         6         3         3         6         4         7         8         2         10        5         2         6         8         
Vardas1842     Pavardė1842   2         7         8         8         10        1         8         5         1         9         1         4         4         3         5         7         
Vardas1843     Pavardė1843   3         4         2         9         6         2         2         6         4         1         3         2         3         7         3         4         
Vardas1844     Pavardė1844   8         8         3         6         6         1         3         4         9         1         10        4         10        8         10        4         
Vardas1845     Pavardė1845   4         3         3         4         5         1         2         9         5         4         2         7         1         2         9         5         
Vardas1846     Pavardė1846   3         4         8         6         5         2         1         2         3         9         10        6         8         7         6         8         
Vardas1847     Pavardė1847   1         3         7         9         1         10        4         8         2         7         5         5         6         1         3         7         
Vardas1848     Pavardė1848   8         7         8         5         2         4         1         4         6         7         1         9         4         7         7         5         
Vardas1849     Pavardė1849   10        9         10        1         5         7         7         7         7         10        3         1         2         9         3         8         
Vardas1850     Pavardė1850   8         1         10        9         1         4         5         5         6         8         9         5         1         5         8         3         
Vardas1851     Pavardė1851   2         8         7         1         5         1         4         6         3         10        8         7         9         3         8         4         
Vardas1852     Pavardė1852   9         6         3         5         1         3         2         10        4         5         1         1         3         5         3         6         
Vardas1853     Pavardė1853   9         10        2         2         3         3         7         1         6         6         2         6         1         3         2         2         
Vardas1854     Pavardė1854   3         10        1         4         7         6         4         7         3         7         2         9         2         2         2         6         
Vardas1855     Pavardė1855   8         9         4         7         5         10        1         2         6         5         8         2         6         4         6         8         
Vardas1856     Pavardė1856   5         3         2         5         2         6         6         8         4         3         3         9         8         1         9         3         
Vardas1857     Pavardė1857   10        7         7         7         4         2         4         6         1         9         6         4         9         1         3         8         
Vardas1858     Pavardė1858   6         8         6         5         1         4         8         4         10        10        6         5         1         6         10        5         
Vardas1859     Pavardė1859   1         1         6         8         10        4         9         8         3         5         4         3         7         2         4         10        
Vardas1860     Pavardė1860   10        7         4         10        7         3         3         8         9         3         7         6         3         6         4         8         
Vardas1861     Pavardė1861   10        2         4         9         6         6         4         6         1         8         4         2         8         3         2         3         
Vardas1862     Pavardė1862   7         7         3         8         1         4         5         3         4         9         1         7         6         10        9         1         
Vardas1863     Pavardė1863   3         6         10        10        2         3         4         8         6         1         5         10        4         7         8         10        
Vardas1864     Pavardė1864   10        8         8         7         5         7         4         6         8         7         2         9         5         4         3         7         
Vardas1865     Pavardė1865   4         2         5         3         3         8         8         1         2         1         3         5         5         2         4         10        
Vardas1866     Pavardė1866   2         10        9         7         2         7         3         3         7         5         2         9         10        9         5         2         
Vardas1867     Pavardė1867   1         6         1         9         3         5         10        1         1         4         6         7         5         10        4         7         
Vardas1868     Pavardė1868   8         2         9         6         2         9         6         9         1         6         4         4         9         7         8         9         
Vardas1869     Pavardė1869   9         9         3         4         6         7         5         7         4         4         6         2         5         10        2         9         
Vardas1870     Pavardė1870   7         2         8         3         5         2         6         8         9         4         2         1         7         8         2         10        
Vardas1871     Pavardė1871   8         2         7         7         7         6         7         1         2         7         5         3         1         7         6         6         
Vardas1872     Pavardė1872   2         8         2         7         9         8         6         8         4         2         6         9         7         7         10        9         
Vardas1873     Pavardė1873   6         5         3         3         5         6         9         2         1         7         2         3         5         9         10        9         
Vardas1874     Pavardė1874   1         5         3         10        2         4         4         8         8         4         3         8         7         3         3         4         
Vardas1875     Pavardė1875   1         1         8         7         5         7         2         6         10        9         4         8         6         3         7         8         
Vardas1876     Pavardė1876   5         8         10        4         8         3         3         6         4         1         6         9         5         9         6         8         
Vardas1877     Pavardė1877   2         5         7         9         2         7         8         7         2         5         8         1         10        2         5         6         
Vardas1878     Pavardė1878   7         2         4         8         4         7         2         10        8         2         10        10        4         3         8         3         
Vardas1879     Pavardė1879   5         6         1         9         5         10        4         6         3         1         8         1         1         4         1         2         
Vardas1880     Pavardė1880   4         2         5         10        3         10        10        5         8         10        10        7         8         10        9         10        
Vardas1881     Pavardė1881   5         2         3         3         1         1         10        2         8         3         3         8         4         8         1         6         
Vardas1882     Pavardė1882   8         9         1         10        7         10        5         9         7         2         10        7         1         4         10        8         
Vardas1883     Pavardė1883   3         9         7         9         5         9         10        5         3         1         3         9         1         8         1         9         
Vardas1884     Pavardė1884   8         2         7         6         4         4         2         4         6         6         2         1         1         4         4         7         
Vardas1885     Pavardė1885   3         7         10        2         8         1         3         1         1         9         5         8         7         5         9         3         
Vardas1886     Pavardė1886   5         9         1         7         9         2         9         8         2         1         10        2         1         1         9         5         
Vardas1887     Pavardė1887   10        8         4         3         10        4         6         8         1         3         3         1         3         2         2         6         
Vardas1888     Pavardė1888   8         3         2         8         9         2         5         8         9         3         3         3         5         4         1         2         
Vardas1889     Pavardė1889   7         4         4         8         4         2         3         3         1         4         3         4         5         9         7         6         
Vardas1890     Pavardė1890   3         4         6         5         9         8         9         8         5         4         6         5         3         5         3         5         
Vardas1891     Pavardė1891   10        1         3         4         6         4         3         8         4         9         8         10        6         5         1         1         
Vardas1892     Pavardė1892   10        7         10        3         6         4         2         9         2         4         10        10        9         1         8         8         
Vardas1893     Pavardė1893   5         2         6         9         3         9         9         1         7         1         3         6         7         4         9         6         
Vardas1894     Pavardė1894   2         5         7         6         5         3         5         2         3         9         1         7         8         4         3         1         
Vardas1895     Pavardė1895   10        5         5         2         1         3         2         5         3         3         7         1         5         3         6         1         
Vardas1896     Pavardė1896   9         6         10        6         10        5         1         2         8         2         6         3         8         9         4         1         
Vardas1897     Pavardė1897   7         1         6         10        10        6         4         4         7         10        8         3         2         3         7         4         
Vardas1898     Pavardė1898   2         10        1         7         1         9         1         3         7         4         7         2         10        6         5         5         
Vardas1899     Pavardė1899   5         7         10        10        1         6         10        8         5         9         5         2         9         3         9         8         
Vardas1900     Pavardė1900   5         4         1         4         7         10        10        1         10        3         2         3         10        6         3         10        
Vardas1901     Pavardė1901   1         10        9         1         5         1         10        6         2         5         10        9         9         4         1         10        
Vardas1902     Pavardė1902   8         8         4         8         7         9         1         5         3         7         10        1         6         2         2         6         
Vardas1903     Pavardė1903   8         9         7         5         8         8         2         2         2         4         5         7         8         6         3         7         
Vardas1904     Pavardė1904   2         5         4         5         8         9         2         10        9         4         10        8         1         4         9         6         
Vardas1905     Pavardė1905   8         6         8         5         4         3         2         5         1         8         9         4         2         3         10        7         
Vardas1906     Pavardė1906   5         6         2         3         10        5         2         5         7         4         9         8         8         7         7         4         
Vardas1907     Pavardė1907   6         9         1         5         6         8         5         6         6         10        6         3         3         10        2         2         
Vardas1908     Pavardė1908   3         6         7         9         8         2         3         5         10        9         8         6         3         8         1         1         
Vardas1909     Pavardė1909   3         10        4         5         10        5         5         2         8         6         6         6         4         3         2         2         
Vardas1910     Pavardė1910   3         10        3         7         3         2         7         8         4         7         4         7         5         7         3         8         
Vardas1911     Pavardė1911   2         2         4         7         9         7         8         1         8         3         1         3         6         6         2         1         
Vardas1912     Pavardė1912   7         9         6         3         1         6         3         1         10        7         4         8         1         7         8         1         
Vardas1913     Pavardė1913   1         6         5         5         6         6         5         4         4         9         7         7         7         6         8         9         
Vardas1914     Pavardė1914   9         5         8         2         10        2         4         10        4         10        3         10        5         2         8         8         
Vardas1915     Pavardė1915   6         5         4         4         6         2         1         9         3         6         10        9         7         2         4         9         
Vardas1916     Pavardė1916   6         8         7         5         7         2         3         7         1         2         10        3         2         3         2         3         
Vardas1917     Pavardė1917   1         6         7         10        10        8         2         6         7         6         4         8         10        1         3         9         
Vardas1918     Pavardė1918   10        10        6         4         8         9         4         1         7         3         5         10        3         3         3         8         
Vardas1919     Pavardė1919   5         6         10        5         4         7         8         8         2         3         8         9         7         10        1         5         
Vardas1920     Pavardė1920   9         6         8         9         3         5         5         3         10        4         1         4         4         1         2         5         
Vardas1921     Pavardė1921   9         4         2         5         4         9         2         3         4         2         1         1         1         3         6         10        
Vardas1922     Pavardė1922   5         3         1         9         4         10        5         4         10        6         2         2         9         10        10        8         
Vardas1923     Pavardė1923   10        10        4         9         1         7         1         9         9         1         3         2         4         5         9         4         
Vardas1924     Pavardė1924   6         7         1         7         9         9         9         9         2         5         3         3         3         7         9         4         
Vardas1925     Pavardė1925   9         3         6         9         10        3         1         9         10        1         1         1         2         4         7         1         
Vardas1926     Pavardė1926   6         3         5         8         2         7         7         1         10        5         10        6         5         6         1         7         
Vardas1927     Pavardė1927   1         10        2         5         10        8         5         4         8         1         3         5         5         7         2         5         
Vardas1928     Pavardė1928   5         6         3         7         3         7         6         3         6         4         9         3         9         4         2         9         
Vardas1929     Pavardė1929   3         10        4         6         8         9         9         1         4         7         3         8         3         3         10        1         
Vardas1930     Pavardė1930   8         4         8         5         7         6         5         10        10        10        4         10        10        3         9         9         
Vardas1931     Pavardė1931   2         5         9         5         5         4         4         2         5         8         2         7         2         10        8         9         
Vardas1932     Pavardė1932   7         8         5         1         4         2         4         4         3         7         4         8         8         7         6         10        
Vardas1933     Pavardė1933   9         9         8         5         5         2         8         10        4         5         5         6         9         3         1         4         
Vardas1934     Pavardė1934   8         3         5         1         1         2         8         5         3         8         4         8         6         10        8         5         
Vardas1935     Pavardė1935   4         7         2         8         8         7         10        10        4         2         5         3         10        1         1         8         
Vardas1936     Pavardė1936   2         1         1         4         4         9         6         1         8         5         8         6         8         7         1         10        
Vardas1937     Pavardė1937   7         5         4         1         8         2         10        7         9         4         8         2         3         7         6         9         
Vardas1938     Pavardė1938   7         2         9         2         10        6         7         7         6         5         7         7         8         1         3         10        
Vardas1939     Pavardė1939   5         2         10        1         2         8         5         3         4         9         10        5         9         2         4         8         
Vardas1940     Pavardė1940   2         8         6         7         3         4         2         7         5         5         1         8         10        7         10        8         
Vardas1941     Pavardė1941   7         7         7         8         8         7         7         2         8         3         2         1         9         7         9         1         
Vardas1942     Pavardė1942   3         4         7         10        4         4         3         2         4         8         3         6         8         2         10        8         
Vardas1943     Pavardė1943   2         9         6         9         5         7         2         8         10        3         9         10        5         10        4         9         
Vardas1944     Pavardė1944   5         3         10        6         10        4         10        8         3         1         8         1         9         8         3         9         
Vardas1945     Pavardė1945   7         7         7         7         4         10        8         5         4         7         9         5         6         7         4         5         
Vardas1946     Pavardė1946   10        7         6         1         3         2         8         1         5         9         1         1         4         6         2         5         
Vardas1947     Pavardė1947   2         10        9         4         4         5         4         1         7         10        7         8         1         8         8         10        
Vardas1948     Pavardė1948   3         10        8         1         10        8         1         10        4         3         10        9         4         9         6         6         
Vardas1949     Pavardė1949   4         8         1         7         4         6         7         9         10        6         8         5         8         3         7         1         
Vardas1950     Pavardė1950   7         5         6         3         9         4         10        6         10        2         10        5         3         6         4         1         
Vardas1951     Pavardė1951   8         5         1         5         3         8         4         7         5         7         6         1         9         6         8         7         
Vardas1952     Pavardė1952   8         3         4         10        3         9         6         1         6         6         6         6         5         10        10        8         
Vardas1953     Pavardė1953   10        3         6         7         7         6         4         2         7         3         1         6         5         9         3         2         
Vardas1954     Pavardė1954   2         7         5         3         7         9         7         5         8         9         1         6         3         2         5         9         
Vardas1955     Pavardė1955   1         6         6         5         8         1         6         6         7         9         6         4         10        5         8         10        
Vardas1956     Pavardė1956   5         2         2         10        9         4         6         10        7         5         5         5         3         6         7         9         
Vardas1957     Pavardė1957   9         6         2         3         9         7         8         5         8         5         10        3         4         2         4         3         
Vardas1958     Pavardė1958   9         9         3         4         2         3         7         9         2         5         2         8         6         4         5         10        
Vardas1959     Pavardė1959   6         3         9         5         3         9         2         1         8         7         3         8         4         4         6         9         
Vardas1960     Pavardė1960   1         10        8         1         9         6         6         3         10        7         8         10        4         1         6         4         
Vardas1961     Pavardė1961   4         9         9         3         6         8         9         4         4         6         9         9         1         4         10        2         
Vardas1962     Pavardė1962   8         4         8         10        7         2         10        7         8         8         1         6         9         7         2         3         
Vardas1963     Pavardė1963   5         4         3         1         7         8         5         6         5         6         3         2         5         3         8         8         
Vardas1964     Pavardė1964   3         4         4         7         9         7         10        9         2         2         7         8         7         8         7         7         
Vardas1965     Pavardė1965   10        1         6         6         2         8         2         1         8         5         3         7         5         4         1         9         
Vardas1966     Pavardė1966   8         1         8         7         4         1         8         4         9         8         2         5         3         4         7         10        
Vardas1967     Pavardė1967   3         8         2         4         10        6         10        4         9         1         3         9         4         9         1         3         
Vardas1968     Pavardė1968   3         10        2         4         5         6         2         2         2         8         3         1         2         2         10        2         
Vardas1969     Pavardė1969   8         9         10        9         7         5         3         3         9         2         9         2         3         3         9         2         
Vardas1970     Pavardė1970   4         7         1         4         7         2         8         2         4         5         6         2         5         6         8         10        
Vardas1971     Pavardė1971   7         10        10        1         2         5         10        1         10        8         8         3         8         2         10        4         
Vardas1972     Pavardė1972   7         4         5         1         4         6         8         7         6         6         10        6         4         3         6         2         
Vardas1973     Pavardė1973   7         3         6         9         3         1         6         3         8         3         9         9         1         7         10        5         
Vardas1974     Pavardė1974   8         5         1         3         1         1         3         2         5         6         9         9         5         6         8         7         
Vardas1975     Pavardė1975   6         1         4         4         2         6         3         9         2         9         7         7         4         1         3         5         
Vardas1976     Pavardė1976   9         5         8         6         5         9         3         1         1         1         8         2         7         9         2         9         
Vardas1977     Pavardė1977   2         8         1         1         9         10        5         7         10        3         3         6         1         7         5         7         
Vardas1978     Pavardė1978   8         3         8         2         6         4         6         9         1         2         10        8         1         2         7         8         
Vardas1979     Pavardė1979   7         2         5         8         10        5         8         1         2         6         2         4         2         10        1         10        
Vardas1980     Pavardė1980   5         2         1         2         4         6         4         4         9         6         6         5         10        3         5         6         
Vardas1981     Pavardė1981   10        9         10        4         4         3         7         5         10        4         5         2         9         7         8         5         
Vardas1982     Pavardė1982   4         5         10        5         2         1         9         4         8         8         8         2         10        8         10        7         
Vardas1983     Pavardė1983   1         8         10        5         5         7         2         2         1         5         10        9         10        6         9         5         
Vardas1984     Pavardė1984   2         6         8         8         8         4         3         1         8         5         3         1         10        5         3         1         
Vardas1985     Pavardė1985   2         3         7         2         2         6         4         2         8         8         6         7         6         10        8         6         
Vardas1986     Pavardė1986   5         6         9         8         9         10        3         2         8         4         5         5         7         5         8         4         
Vardas1987     Pavardė1987   7         8         4         7         10        8         3         8         3         2         6         8         10        3         3         6         
Vardas1988     Pavardė1988   7         5         8         8         8         5         1         9         4         1         8         8         2         10        2         8         
Vardas1989     Pavardė1989   6         9         6         9         3         1         10        3         4         4         4         6         5         10        10        2         
Vardas1990     Pavardė1990   8         8         10        2         1         1         3         10        6         9         7         1         5         3         9         6         
Vardas1991     Pavardė1991   7         7         9         1         4         8         9         4         6         2         1         4         4         6         10        4         
Vardas1992     Pavardė1992   9         1         10        5         1         5         6         3         5         8         5         10        2         10        1         4         
Vardas1993     Pavardė1993   6         6         3         5         3         8         7         5         7         1         3         9         2         9         2         8         
Vardas1994     Pavardė1994   2         10        10        2         10        9         10        2         7         6         10        7         8         9         2         5         
Vardas1995     Pavardė1995   5         5         9         6         10        8         9         2         8         9         3         10        5         2         3         7         
Vardas1996     Pavardė1996   7         10        1         2         2         8         4         1         9         10        8         5         3         9         4         9         
Vardas1997     Pavardė1997   4         2         3         5         6         9         2         1         8         5         1         1         4         8         5         2         
Vardas1998     Pavardė1998   8         9         10        2         7         5         3         8         3         5         10        5         10        4         2         1         
Vardas1999     Pavardė1999   3         1         6         10        8         6         5         2         10        8         1         7         4         4         8         1         
Vardas2000     Pavardė2000   9         10        3         5         5         4         8         3         2         8         8         3         2         5         2         9         
Vardas2001     Pavardė2001   3         3         7         10        7         5         4         8         10        8         3         8         7         3         10        9         
Vardas2002     Pavardė2002   5         2         6         6         4         4         8         6         6         6         7         7         5         2         9         10        
Vardas2003     Pavardė2003   5         9         3         9         1         5         4         1         10        7         5         1         10        9         8         2         
Vardas2004     Pavardė2004   3         6         2         2         9         2         4         3         4         8         5         4         6         9         5         1         
Vardas2005     Pavardė2005   2         9         2         6         10        3         2         7         3         10        10        3         4         7         9         1         
Vardas2006     Pavardė2006   8         9         2         4         6         4         1         9         10        1         8         1         6         7         3         2         
Vardas2007     Pavardė2007   5         3         5         5         1         8         9         4         4         9         6         8         8         3         1         1         
Vardas2008     Pavardė2008   2         9         5         1         6         2         8         1         9         3         9         4         8         10        10        3         
Vardas2009     Pavardė2009   3         4         8         9         4         10        7         2         6         3         4         9         8         7         3         3         
Vardas2010     Pavardė2010   8         5         4         10        8         10        6         10        10        10        8         4         5         2         10        5         
Vardas2011     Pavardė2011   6         5         6         10        1         10        9         10        8         3         2         6         8         4         5         1         
Vardas2012     Pavardė2012   5         4         8         5         8         4         9         1         2         3         8         2         7         5         7         1         
Vardas2013     Pavardė2013   5         8         2         9         2         3         2         9         9         2         8         1         7         5         1         1         
Vardas2014     Pavardė2014   2         5         3         3         7         7         5         1         1         9         8         3         10        4         3         5         
Vardas2015     Pavardė2015   5         8         6         1         7         4         6         9         8         2         9         2         8         7         2         1         
Vardas2016     Pavardė2016   5         10        7         6         8         3         6         6         2         7         10        5         1         4         8         2         
Vardas2017     Pavardė2017   7         7         4         7         10        4         6         2         9         5         7         8         3         9         5         6         
Vardas2018     Pavardė2018   3         1         10        1         7         7         2         6         5         2         5         6         4         5         6         6         
Vardas2019     Pavardė2019   3         10        1         2         5         4         10        3         3         6         6         3         6         5         7         2         
Vardas2020     Pavardė2020   8         5         6         10        2         9         10        9         7         7         6         5         7         10        2         2         
Vardas2021     Pavardė2021   9         5         2         6         3         4         1         10        4         10        3         9         7         8         1         6         
Vardas2022     Pavardė2022   6         5         3         4         7         7         10        2         3         6         7         8         10        5         4         6         
Vardas2023     Pavardė2023   6         4         1         6         1         6         2         4         7         1         6         2         6         7         1         9         
Vardas2024     Pavardė2024   1         1         3         10        1         6         8         8         4         9         8         5         5         2         5         7         
Vardas2025     Pavardė2025   9         8         9         8         2         6         4         10        1         6         6         7         10        3         6         1         
Vardas2026     Pavardė2026   4         6         3         2         4         9         4         3         5         3         9         2         3         6         10        9         
Vardas2027     Pavardė2027   3         2         4         1         1         2         10        5         6         4         3         3         6         8         1         2         
Vardas2028     Pavardė2028   1         7         6         8         8         6         1         1         3         2         4         7         2         4         1         2         
Vardas2029     Pavardė2029   10        3         4         4         7         1         1         10        3         4         1         8         2         8         4         6         
Vardas2030     Pavardė2030   8         1         8         7         5         3         8         4         1         10        8         4         10        7         1         6         
Vardas2031     Pavardė2031   9         4         8         4         5         10        9         8         1         4         9         1         8         6         6         3         
Vardas2032     Pavardė2032   10        8         10        1         7         10        2         6         3         10        3         7         4         2         8         3         
Vardas2033     Pavardė2033   5         3         3         9         3         9         7         3         4         2         2         10        3         9         1         7         
Vardas2034     Pavardė2034   3         5         1         5         5         10        2         6         8         8         8         1         8         2         7         6         
Vardas2035     Pavardė2035   10        2         5         10        9         3         7         1         4         9         4         2         5         10        7         4         
Vardas2036     Pavardė2036   4         1         2         5         4         1         4         1         10        8         10        3         6         2         2         4         
Vardas2037     Pavardė2037   4         5         6         1         3         7         4         9         10        10        6         10        9         3         8         2         
Vardas2038     Pavardė2038   1         5         8         1         1         5         6         6         8         5         6         9         7         1         3         1         
